"model","mean_AU1U","mean_kappa","mean_N_IM_sensitivity","mean_N_OM_sensitivity","mean_N_TM_sensitivity","mean_N_S_sensitivity","mean_N_TL_SEC_sensitivity","mean_N_TL_TAT_sensitivity","mean_P_IM_sensitivity","mean_P_TM_sensitivity","mean_P_S_sensitivity"
"Architecture_v4-Sec_1-2_Filtering_0.5",0.883940860587128,0.00961405900770171,0.46,0.216666666666667,0.738537549407114,0.908823529411765,0,0.644642857142857,0.983974358974359,0.991102806189352,0.959349593495935
"Architecture_v4-Sec_1-2_No_filtering",0.901445801849056,0.370593826553481,0.543333333333333,0.516666666666667,0.769565217391304,0.897058823529412,0.09,0.846428571428571,0.983974358974359,0.989489902963546,0.97137049941928
"Architecture_v4-Sec_1-3_Filtering_0.5",0.883765719944034,0.0101664548564904,0.443333333333333,0.236666666666667,0.743083003952569,0.911764705882353,0,0.644642857142857,0.983974358974359,0.991102806189352,0.959349593495935
"Architecture_v4-Sec_1-3_No_filtering",0.900472698579804,0.623928039294784,0.56,0.446666666666667,0.769762845849802,0.879411764705882,0.145,0.846428571428571,0.983974358974359,0.991909257802255,0.966608594657375
"Architecture_v4-Sec_2-1_Filtering_0.5",0.884516404932792,0.0107747379047605,0.46,0.216666666666667,0.738735177865613,0.914705882352941,0,0.644642857142857,0.983974358974359,0.991102806189352,0.961730545876887
"Architecture_v4-Sec_2-1_No_filtering",0.898052765255531,0.371904751321102,0.56,0.503333333333333,0.774110671936759,0.9,0.09,0.846428571428571,0.983974358974359,0.991102806189352,0.966550522648083
"Architecture_v4-Sec_2-2_Filtering_0.5",0.883574946859356,0.00919890991982623,0.443333333333333,0.22,0.738735177865613,0.911764705882353,0,0.644642857142857,0.983974358974359,0.991102806189352,0.959349593495935
"Architecture_v4-Sec_2-2_No_filtering",0.902771342789127,0.707911278945924,0.526666666666667,0.45,0.756126482213439,0.885294117647059,0.165,0.846428571428571,0.983974358974359,0.991909257802255,0.964169570267131
"Architecture_v4-Sec_2-3_Filtering_0.5",0.884062494589782,0.010304341721299,0.476666666666667,0.216666666666667,0.747628458498024,0.908823529411765,0,0.644642857142857,0.983974358974359,0.991102806189352,0.959349593495935
"Architecture_v4-Sec_2-3_No_filtering",0.897980088919313,0.62563281065868,0.56,0.466666666666667,0.774505928853755,0.876470588235294,0.145,0.846428571428571,0.983974358974359,0.990296354576449,0.973751451800232
"Architecture_v4-Sec_3-1_Filtering_0.5",0.883207961750202,0.0112989759511524,0.493333333333333,0.216666666666667,0.747826086956522,0.917647058823529,0,0.644642857142857,0.983974358974359,0.991102806189352,0.961730545876887
"Architecture_v4-Sec_3-1_No_filtering",0.896276958687698,0.62789468196158,0.526666666666667,0.446666666666667,0.769762845849802,0.897058823529412,0.145,0.833928571428571,0.983974358974359,0.991909257802255,0.968931475029036
"Architecture_v4-Tat_0-1_Filtering_0.5",0.878910067971307,0.268103099478527,0.443333333333333,0.236666666666667,0.747628458498024,0.908823529411765,0.695,0.025,0.983974358974359,0.991102806189352,0.961730545876887
"Architecture_v4-Tat_0-1_No_filtering",0.889920135082174,0.121100639297316,0.543333333333333,0.5,0.760869565217391,0.885294117647059,0.695,0,0.983974358974359,0.991102806189352,0.968989547038328
"Architecture_v4-Tat_1-1_Filtering_0.5",0.877359470789422,0.18616312537867,0.443333333333333,0.22,0.747826086956522,0.908823529411765,0.695,0.025,0.983974358974359,0.991102806189352,0.961730545876887
"Architecture_v4-Tat_1-1_No_filtering",0.893215245958465,0.365146817198641,0.51,0.466666666666667,0.765217391304348,0.897058823529412,0.695,0.0375,0.983974358974359,0.991102806189352,0.964169570267131
"Architecture_v4-Tat_1-2_Filtering_0.5",0.878217743514756,0.26770102768416,0.46,0.216666666666667,0.743083003952569,0.908823529411765,0.695,0.025,0.983974358974359,0.991102806189352,0.961730545876887
"Architecture_v4-Tat_1-2_No_filtering",0.887377415078657,0.124485282446957,0.543333333333333,0.533333333333333,0.774308300395257,0.9,0.695,0,0.983974358974359,0.990296354576449,0.97137049941928
"Architecture_v4-Tat_1-3_Filtering_0.5",0.8778796879543,0.186763286227169,0.443333333333333,0.236666666666667,0.747628458498024,0.908823529411765,0.695,0.025,0.983974358974359,0.991102806189352,0.961730545876887
"Architecture_v4-Tat_1-3_No_filtering",0.888438052190918,0.365118827522623,0.56,0.446666666666667,0.765415019762846,0.885294117647059,0.695,0.0125,0.983974358974359,0.992715709415159,0.968989547038328
"Architecture_v4-Tat_2-1_Filtering_0.5",0.877010391118354,0.187592016669076,0.46,0.216666666666667,0.747826086956522,0.914705882352941,0.695,0.025,0.983974358974359,0.991102806189352,0.961730545876887
"Architecture_v4-Tat_2-1_No_filtering",0.884726728970325,0.36952240372059,0.543333333333333,0.503333333333333,0.769762845849802,0.911764705882353,0.695,0.0375,0.983974358974359,0.991102806189352,0.968931475029036
"Architecture_v4-Tat_2-2_Filtering_0.5",0.875948578176246,0.186112455136113,0.443333333333333,0.22,0.747826086956522,0.908823529411765,0.695,0.025,0.983974358974359,0.991102806189352,0.961730545876887
"Architecture_v4-Tat_2-2_No_filtering",0.891271804755951,0.284124863955373,0.543333333333333,0.45,0.760671936758893,0.897058823529412,0.695,0.025,0.983974358974359,0.992715709415159,0.966608594657375
"Architecture_v4-Tat_2-3_Filtering_0.5",0.876729103172506,0.188416845364339,0.476666666666667,0.216666666666667,0.747628458498024,0.911764705882353,0.695,0.025,0.983974358974359,0.991102806189352,0.961730545876887
"Architecture_v4-Tat_2-3_No_filtering",0.88629318188238,0.202728350176966,0.56,0.483333333333333,0.774505928853755,0.882352941176471,0.695,0.0125,0.983974358974359,0.990296354576449,0.973751451800232
"Architecture_v4-Tat_3-1_Filtering_0.5",0.876116365033846,0.188076523568808,0.493333333333333,0.216666666666667,0.752371541501976,0.914705882352941,0.695,0.025,0.983974358974359,0.991102806189352,0.961730545876887
"Architecture_v4-Tat_3-1_No_filtering",0.884834068337316,0.451724838714506,0.56,0.466666666666667,0.774505928853755,0.905882352941176,0.695,0.05,0.983974358974359,0.991909257802255,0.97137049941928
"Architecture_v5_0-1_Filtering_0.5",0.873176008487332,0.77749853276535,0.443333333333333,0.216666666666667,0.756521739130435,0.897058823529412,0.65,0.669642857142857,0.983974358974359,0.993522161028062,0.971312427409988
"Architecture_v5_0-1_No_filtering",0.890293479877731,0.889776672490377,0.543333333333333,0.533333333333333,0.760869565217391,0.882352941176471,0.65,0.796428571428571,0.983974358974359,0.991102806189352,0.968931475029036
"Architecture_v5_1-1_Filtering_0.5",0.87387956199597,0.779124755413931,0.443333333333333,0.22,0.765415019762846,0.9,0.65,0.669642857142857,0.983974358974359,0.993522161028062,0.971312427409988
"Architecture_v5_1-1_No_filtering",0.889878341088585,0.890325958313416,0.526666666666667,0.486666666666667,0.769762845849802,0.888235294117647,0.65,0.808928571428571,0.983974358974359,0.991909257802255,0.966550522648083
"Architecture_v5_1-2_Filtering_0.5",0.871480834414897,0.7780210530446,0.443333333333333,0.216666666666667,0.756324110671937,0.9,0.65,0.669642857142857,0.983974358974359,0.993522161028062,0.971312427409988
"Architecture_v5_1-2_No_filtering",0.889055926372046,0.896817294402458,0.543333333333333,0.55,0.792094861660079,0.894117647058824,0.63,0.808928571428571,0.983974358974359,0.991909257802255,0.968931475029036
"Architecture_v5_1-3_Filtering_0.5",0.873583128524614,0.776930327415491,0.443333333333333,0.216666666666667,0.752173913043478,0.897058823529412,0.65,0.669642857142857,0.983974358974359,0.993522161028062,0.971312427409988
"Architecture_v5_1-3_No_filtering",0.890585173282278,0.893581492222456,0.576666666666667,0.496666666666667,0.778853754940711,0.882352941176471,0.65,0.796428571428571,0.983974358974359,0.992715709415159,0.97137049941928
"Architecture_v5_2-1_Filtering_0.5",0.871895320202882,0.78129521628454,0.46,0.2,0.770158102766799,0.905882352941177,0.65,0.682142857142857,0.983974358974359,0.993522161028062,0.971312427409988
"Architecture_v5_2-1_No_filtering",0.886870836790347,0.896210342674837,0.543333333333333,0.516666666666667,0.778853754940712,0.9,0.65,0.808928571428571,0.983974358974359,0.992715709415159,0.968931475029036
"Architecture_v5_2-2_Filtering_0.5",0.874151583666032,0.779095685256147,0.443333333333333,0.22,0.756719367588933,0.902941176470588,0.65,0.682142857142857,0.983974358974359,0.993522161028062,0.971312427409988
"Architecture_v5_2-2_No_filtering",0.890035730858266,0.894122908385212,0.576666666666667,0.48,0.774308300395257,0.891176470588235,0.65,0.808928571428571,0.983974358974359,0.992715709415159,0.968931475029036
"Architecture_v5_2-3_Filtering_0.5",0.871990370264955,0.779102469933107,0.476666666666667,0.216666666666667,0.756719367588933,0.9,0.65,0.669642857142857,0.983974358974359,0.993522161028062,0.971312427409988
"Architecture_v5_2-3_No_filtering",0.888358075500932,0.894162329739557,0.576666666666667,0.5,0.774308300395257,0.888235294117647,0.63,0.808928571428571,0.983974358974359,0.992715709415159,0.97137049941928
"Architecture_v5_3-1_Filtering_0.5",0.87161791228665,0.781282236956505,0.46,0.2,0.770355731225296,0.905882352941177,0.65,0.682142857142857,0.983974358974359,0.993522161028062,0.971312427409988
"Architecture_v5_3-1_No_filtering",0.887187167420004,0.894100945265841,0.593333333333333,0.516666666666667,0.765415019762846,0.894117647058824,0.63,0.808928571428571,0.983974358974359,0.992715709415159,0.966550522648083
"Architecture_v5-Sec_0-1_Filtering_0.5",0.875139980422303,0.778006662184194,0.443333333333333,0.216666666666667,0.760869565217391,0.897058823529412,0.63,0.682142857142857,0.983974358974359,0.993522161028062,0.971312427409988
"Architecture_v5-Sec_0-1_No_filtering",0.893115576619458,0.891384667130284,0.543333333333333,0.516666666666667,0.765415019762846,0.885294117647059,0.635,0.833928571428571,0.983974358974359,0.991102806189352,0.968931475029036
"Architecture_v5-Sec_1-1_Filtering_0.5",0.874960720836444,0.778558754453396,0.443333333333333,0.22,0.765415019762846,0.9,0.63,0.669642857142857,0.983974358974359,0.993522161028062,0.971312427409988
"Architecture_v5-Sec_1-1_No_filtering",0.89338657543744,0.890893530965638,0.526666666666667,0.486666666666667,0.774308300395257,0.888235294117647,0.635,0.821428571428571,0.983974358974359,0.991909257802255,0.966550522648083
"Architecture_v5-Sec_1-2_Filtering_0.5",0.873134397783412,0.778013533584522,0.443333333333333,0.216666666666667,0.756324110671937,0.9,0.63,0.682142857142857,0.983974358974359,0.993522161028062,0.971312427409988
"Architecture_v5-Sec_1-2_No_filtering",0.891441632338551,0.897350582207395,0.543333333333333,0.55,0.783201581027668,0.894117647058824,0.655,0.833928571428571,0.983974358974359,0.991909257802255,0.968931475029036
"Architecture_v5-Sec_1-3_Filtering_0.5",0.875523683127408,0.776390029950642,0.443333333333333,0.216666666666667,0.752173913043478,0.897058823529412,0.63,0.682142857142857,0.983974358974359,0.992715709415159,0.971312427409988
"Architecture_v5-Sec_1-3_No_filtering",0.893612976760315,0.894128328810241,0.576666666666667,0.496666666666667,0.778853754940712,0.882352941176471,0.635,0.821428571428571,0.983974358974359,0.992715709415159,0.97137049941928
"Architecture_v5-Sec_2-1_Filtering_0.5",0.873164341273401,0.779679248091378,0.46,0.2,0.765612648221344,0.905882352941177,0.63,0.682142857142857,0.983974358974359,0.992715709415159,0.971312427409988
"Architecture_v5-Sec_2-1_No_filtering",0.889920463282487,0.895685002840599,0.543333333333333,0.533333333333333,0.774308300395257,0.891176470588235,0.655,0.833928571428571,0.983974358974359,0.992715709415159,0.968931475029036
"Architecture_v5-Sec_2-2_Filtering_0.5",0.875609538087759,0.778557517782047,0.443333333333333,0.22,0.761067193675889,0.9,0.63,0.682142857142857,0.983974358974359,0.993522161028062,0.971312427409988
"Architecture_v5-Sec_2-2_No_filtering",0.89332760200936,0.89410932966508,0.576666666666667,0.48,0.769762845849802,0.894117647058824,0.635,0.821428571428571,0.983974358974359,0.992715709415159,0.968931475029036
"Architecture_v5-Sec_2-3_Filtering_0.5",0.87305042586194,0.778568366044715,0.476666666666667,0.216666666666667,0.761067193675889,0.897058823529412,0.63,0.682142857142857,0.983974358974359,0.992715709415159,0.971312427409988
"Architecture_v5-Sec_2-3_No_filtering",0.889914990807199,0.895226982848548,0.576666666666667,0.5,0.769762845849802,0.888235294117647,0.655,0.833928571428571,0.983974358974359,0.992715709415159,0.97137049941928
"Architecture_v5-Sec_3-1_Filtering_0.5",0.872390135501579,0.779658441832291,0.46,0.2,0.765810276679842,0.902941176470588,0.63,0.694642857142857,0.983974358974359,0.992715709415159,0.971312427409988
"Architecture_v5-Sec_3-1_No_filtering",0.887532987798672,0.895168023349998,0.593333333333333,0.516666666666667,0.765217391304348,0.894117647058823,0.655,0.821428571428571,0.983974358974359,0.992715709415159,0.966550522648083
"Architecture_v5-Tat_0-1_Filtering_0.5",0.873512507418759,0.771527000675785,0.443333333333333,0.216666666666667,0.747628458498024,0.891176470588235,0.675,0.578571428571429,0.983974358974359,0.993522161028062,0.971312427409988
"Architecture_v5-Tat_0-1_No_filtering",0.884264833359518,0.879889206369998,0.543333333333333,0.516666666666667,0.760671936758893,0.870588235294118,0.695,0.591071428571429,0.983974358974359,0.991909257802255,0.968931475029036
"Architecture_v5-Tat_1-1_Filtering_0.5",0.872730134984538,0.773727725232764,0.443333333333333,0.22,0.756521739130435,0.894117647058824,0.675,0.591071428571429,0.983974358974359,0.993522161028062,0.971312427409988
"Architecture_v5-Tat_1-1_No_filtering",0.885209675674265,0.87992064857164,0.526666666666667,0.466666666666667,0.765217391304348,0.882352941176471,0.695,0.591071428571429,0.983974358974359,0.991909257802255,0.966550522648083
"Architecture_v5-Tat_1-2_Filtering_0.5",0.870762260859463,0.772605306536892,0.443333333333333,0.236666666666667,0.747628458498024,0.894117647058824,0.675,0.578571428571429,0.983974358974359,0.993522161028062,0.971312427409988
"Architecture_v5-Tat_1-2_No_filtering",0.88246549218364,0.888484846433454,0.543333333333333,0.55,0.791897233201581,0.888235294117647,0.675,0.603571428571429,0.983974358974359,0.992715709415159,0.968931475029036
"Architecture_v5-Tat_1-3_Filtering_0.5",0.87275066802226,0.771521843504441,0.443333333333333,0.216666666666667,0.747628458498024,0.891176470588235,0.675,0.578571428571429,0.983974358974359,0.993522161028062,0.971312427409988
"Architecture_v5-Tat_1-3_No_filtering",0.884904854481528,0.880483366342933,0.576666666666667,0.463333333333333,0.760671936758893,0.873529411764706,0.675,0.603571428571429,0.983974358974359,0.992715709415159,0.968989547038327
